Full_Address,Bedrooms,Bathrooms,Price,Latitude,Longitude,City_Brampton,City_Markham,City_Mississauga,City_Toronto,City_Vaughan,Home_Type_CONDO,Home_Type_SINGLE_FAMILY,Home_Type_TOWNHOUSE
"50 Aileen Ave N, Toronto, ON M6M 1E6",3,2,949000,43.774033,-79.25801,0,0,0,1,0,1,0,0
"117 Estelle Ave, Toronto, ON M2N 5H6",3,2,1799000,43.74747,-79.58333,0,0,0,1,0,1,0,0
"30 Huddleston Ct, Toronto, ON M1L 4L2",3,2,949900,43.654842,-79.38468,0,0,0,1,0,1,0,0
"5 Northtown Way UNIT 1102, Toronto, ON M2N 7A1",2,2,889000,43.749928,-79.26863,0,0,0,1,0,1,0,0
"109 Garden Ave, Toronto, ON M6R 1H8",3,3,2100000,43.72432,-79.30328,0,0,0,1,0,0,0,1
"194 Dawlish Ave, Toronto, ON M4N 1H5",4,4,4600000,43.638134,-79.39147,0,0,0,1,0,1,0,0
"435 Richmond St W #207, Toronto, ON M5V 0N3",2,2,899000,43.79448,-79.31232,0,0,0,1,0,1,0,0
"56 Codsell Ave, Toronto, ON M3H 3V9",4,5,3198000,43.649258,-79.37576,0,0,0,1,0,1,0,0
"17 Trowell Ave, Toronto, ON M6M 1L3",3,4,1758888,43.753036,-79.48941,0,0,0,1,0,0,0,1
"55 Centre Ave #1103, Toronto, ON M5G 2H5",2,2,949900,43.714233,-79.55794,0,0,0,1,0,0,0,1
"20 Winston Ave, Toronto, ON M1N 1W3",2,2,899900,43.640415,-79.56309,0,0,0,1,0,1,0,0
"92 Shelborne Ave, Toronto, ON M5N 1Z3",5,6,2899000,43.71093,-79.32513,0,0,0,1,0,1,0,0
"43 Flagman St, Toronto, ON M4E 3X6",4,4,1759000,43.637733,-79.48798,0,0,0,1,0,1,0,0
"52 Whitley Ave, Toronto, ON M3K 1A2",3,2,1199000,43.681126,-79.332436,0,0,0,1,0,1,0,0
"17 Fordover Dr, Toronto, ON M1E 1T7",3,2,1150000,43.654713,-79.3792,0,0,0,1,0,1,0,0
"957 Danforth Rd, Toronto, ON M1K 1J2",3,2,999900,43.73658,-79.257835,0,0,0,1,0,1,0,0
"36 Woodrow Ave, Toronto, ON M4C 5S2",3,4,1300000,43.640327,-79.56238,0,0,0,1,0,1,0,0
"27 Brooklyn Ave, Toronto, ON M4M 2X4",3,3,1999000,43.637733,-79.48798,0,0,0,1,0,1,0,0
"18 Concorde Pl PENTHOUSE 3, Toronto, ON M3C 3T9",2,2,1199000,43.645473,-79.39232,0,0,0,1,0,1,0,0
"146 Tecumseth St, Toronto, ON M6J 2H4",3,2,1450000,43.714245,-79.45384,0,0,0,1,0,1,0,0
"49 Dryden Way, Toronto, ON M9R 0B2",3,3,1229000,43.634823,-79.40156,0,0,0,1,0,1,0,0
"54 Glenview Ave, Toronto, ON M4R 1P6",4,4,3995000,43.64718,-79.39106,0,0,0,1,0,1,0,0
"3077 Weston Rd #1501, Toronto, ON M9M 3A1",1,1,498888,43.640327,-79.56238,0,0,0,1,0,1,0,0
"196 Fern Ave, Toronto, ON M6R 1K4",4,2,999900,43.797565,-79.31985,0,0,0,1,0,1,0,0
"350 Brooke Ave, Toronto, ON M5M 2L3",5,5,5095000,43.75267,-79.5151,0,0,0,1,0,0,0,1
"490 Markham St, Toronto, ON M6G 2L3",4,3,2349000,43.750698,-79.46505,0,0,0,1,0,1,0,0
"98 Kendal Ave, Toronto, ON M5R 1L9",5,6,4999000,43.804848,-79.21674,0,0,0,1,0,1,0,0
"47 Tommy Douglas Gdns, Toronto, ON M6B 4N3",3,3,1299900,43.710346,-79.39317,0,0,0,1,0,1,0,0
"85 Garnier Ct, Toronto, ON M2M 4C8",4,4,2865000,43.661106,-79.37658,0,0,0,1,0,1,0,0
"16 Jersey Ave, Toronto, ON M6G 3A3",3,3,1099000,43.813545,-79.32216,0,0,0,1,0,1,0,0
"24 A Cedar Brae Blvd, Toronto, ON M1J 2K3",3,2,1190088,43.73627,-79.47671,0,0,0,1,0,0,0,1
"5 Greystone Walk Dr #906, Toronto, ON M1K 5J5",2,1,569900,43.72208,-79.543945,0,0,0,1,0,1,0,0
