,Full_Address,Bedrooms,Bathrooms,Price,City,Home_Type,Latitude,Longitude
86,"16 Jersey Ave, Toronto, ON M6G 3A3",3,3,1099000,Toronto,CONDO,43.813545,-79.32216
87,"24 A Cedar Brae Blvd, Toronto, ON M1J 2K3",3,2,1190088,Toronto,TOWNHOUSE,43.73627,-79.47671
88,"5 Greystone Walk Dr #906, Toronto, ON M1K 5J5",2,1,569900,Toronto,CONDO,43.72208,-79.543945
89,"625 The West Mall PENTHOUSE 5, Toronto, ON M9C 4W9",3,2,729999,Toronto,CONDO,43.814484,-79.325325
90,"214 Winona Dr, Toronto, ON M6C 3S2",3,4,1789000,Toronto,SINGLE_FAMILY,43.678783,-79.49515
91,"8 Delia Ct, Toronto, ON M3H 3G8",3,3,1999900,Toronto,TOWNHOUSE,43.787228,-79.19468
92,"500 Saint Clair Ave W #709, Toronto, ON M6C 1A8",1,1,648000,Toronto,CONDO,43.72016,-79.33666
93,"56 Brampton Rd, Toronto, ON M9R 3J7",2,2,1298888,Toronto,SINGLE_FAMILY,43.69384,-79.44214
94,"481 Guildwood Pkwy, Toronto, ON M1E 1R3",4,6,4788000,Toronto,CONDO,43.733253,-79.446014
95,"2150 Bayview Ave, Toronto, ON M4N 0A4",3,3,1299000,Toronto,CONDO,43.601597,-79.510155
96,"1830 Bloor St W #712, Toronto, ON M6P 0A2",2,2,1265000,Toronto,CONDO,43.652245,-79.37764
97,"15 Vicora Linkway #915, Toronto, ON M3C 1A9",2,1,539900,Toronto,CONDO,43.732376,-79.53698
98,"162 Oakridge Dr, Toronto, ON M1M 2A8",2,2,1175000,Toronto,CONDO,43.66115,-79.38163
99,"53 Guestville Ave, Toronto, ON M6N 4N4",2,2,649900,Toronto,CONDO,43.636406,-79.466064
100,"25 Acorn Ave, Toronto, ON M9B 3P7",2,1,849000,Toronto,SINGLE_FAMILY,43.7026,-79.2919
101,"34 Clematis Rd, Toronto, ON M2J 4X2",4,2,799000,Toronto,CONDO,43.643913,-79.400116
102,"1 Hickory Tree Rd #2007, Toronto, ON M9N 3W4",1,1,498000,Toronto,CONDO,43.64975,-79.365654
103,"3233 Eglinton Ave E #1112, Toronto, ON M1J 3N6",1,1,499000,Toronto,CONDO,43.698013,-79.51368
104,"1 King St W #1118, Toronto, ON M5H 1A1",1,1,405000,Toronto,CONDO,43.767727,-79.37062
105,"33 Mill St #1109, Toronto, ON M5A 3R3",1,1,599900,Toronto,CONDO,43.681454,-79.28247
106,"2059 Weston Rd #44, Toronto, ON M9N 1X7",3,3,785000,Toronto,CONDO,43.795807,-79.32518
107,"3600 Yonge St #235, Toronto, ON M4N 3R8",2,3,2185000,Toronto,CONDO,43.722855,-79.45715
108,"1720 Eglinton Ave E #202, Toronto, ON M4A 2X8",2,2,675000,Toronto,CONDO,43.64044,-79.39719
109,"181 Dundas St E #2609, Toronto, ON M5A 0N5",1,1,659000,Toronto,CONDO,43.720276,-79.34794
110,"16 Wellesley Ave, Toronto, ON M4X 1V3",4,3,1649000,Toronto,CONDO,43.758007,-79.40434
111,"200 Manitoba St #401, Toronto, ON M8Y 3Y9",1,2,799000,Toronto,TOWNHOUSE,43.711792,-79.32778
112,"675 Brimley Rd, Toronto, ON M1J 1C1",2,2,959800,Toronto,CONDO,43.655106,-79.37625
113,"93 Regent Rd, Toronto, ON M3K 1H2",4,5,1799000,Toronto,TOWNHOUSE,43.79244,-79.33577
114,"5 Frith Rd #412, Toronto, ON M3N 2L5",1,1,398000,Toronto,CONDO,43.641994,-79.381584
115,"1B Bowsprit Ave, Toronto, ON M9P 2Y4",3,3,1390000,Toronto,CONDO,43.656807,-79.37509
116,"1121 Bay St #605, Toronto, ON M5S 3L9",1,1,685000,Toronto,SINGLE_FAMILY,43.6833,-79.48873
117,"3121 Sheppard Ave E #1905, Toronto, ON M1T 0B6",3,2,699000,Toronto,TOWNHOUSE,43.79331,-79.237
118,"183 Wellington St W #2606, Toronto, ON M5V 0A1",2,3,3350000,Toronto,CONDO,43.65057,-79.35727
119,"1 Neighbourhood Ln #101, Toronto, ON M8Y 0C2",1,1,539900,Toronto,CONDO,43.656967,-79.37412
